person,line
ross," what, it's gonna be helen willick? "
carol," no, actually, um, we talked about helen willick-bunch. "
ross," well, wait a minute, wha- why is she in the title? "
susan, it's my baby too. 
ross," oh, 's'funny, really? um, i don't remember you making any sperm. "
susan," yeah, and we all know what a challenge that is! "
carol," all right, you two, stop it! "
ross," no no no, she gets a credit, hey, i'm in there too. "
carol, ross. you're not actually suggesting helen willick-bunch-geller? 'cause i think that borders on child abuse. 
ross," of course not, i'm... suggesting geller-willick-bunch. "
susan," oh, no, nonononono, you see what he's doing? he knows no-one's gonna say all those names, so they'll wind up calling her geller, then he gets his way! "
ross," my way?! you-you think this is my way? believe me, of all the ways i ever imagined this moment in my life being, this is not my way- y'know what? uh, um, this is too hard. i'm not, i can't do- "
dr. oberman, (entering) knock knock!how are we today? any nausea? 
all, yeah. yeah. a little. 
dr. oberman," well, i was just wondering about the mother-to-be, but.. thanks for sharing. (to carol) uh, lie back.. "
ross," you- uh- y'know what, i'm gonna go. i don't- i don't think i can be involved in this particular thing right now. "
ross, oh my god. 
susan, look at that. 
carol, i know. 
ross, well? isn't that amazing? 
joey, what are we supposed to be seeing here? 
chandler," i dunno, but.. i think it's about to attack the enterprise. "
phoebe," you know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato. "
ross," then don't do that, alright? "
phoebe, okay! 
ross, (walks over to where monica is standing)monica. whaddya think? 
monica, (welling up) mm-hmm. 
ross, wh- are you welling up? 
monica, no. 
ross," you are, you're welling up. "
monica, am not! 
ross, you're gonna be an aunt. 
monica, (pushes him and starts to cry) oh shut up! 
rachel," (on phone) hi, mindy. hi, it-it's rachel. yeah, i'm fine. i-i saw barry today. oh, yeah, yeah he-he told me. no, no, it's okay. i hope you two are very happy, i really do. oh, oh, and mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- i just hope they have his old hairline and your old nose. (slams the phone down.) (to everyone) okay, i know it was a cheap shot, but i feel so much better now. "
phoebe, (entering) hi guys! 
all," hey, pheebs! hi! "
ross," hey. oh, oh, how'd it go? "
phoebe," um, not so good. he walked me to the subway and said 'we should do this again!' "
all, ohh. ouch. 
rachel," what? he said 'we should do it again', that's good, right? "
monica," uh, no. loosely translated 'we should do this again' means 'you will never see me naked'. "
rachel, since when? 
joey," since always. it's like dating language. y'know, like 'it's not you' means 'it is you'. "
chandler, or 'you're such a nice guy' means 'i'm gonna be dating leather-wearing alcoholics and complaining about them to you'. 
phoebe," or, or, y'know, um, 'i think we should see other people' means 'ha, ha, i already am'. "
rachel, and everybody knows this? 
joey, yeah. cushions the blow. 
chandler," yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm. "
ross," that's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm. "
monica," uh, ross. "
ross," what? wh- hello? the millners' farm in connecticut? the millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....oh my god, chi chi! "
chandler," ""so how does it feel knowing you're about to die?"" "
joey," ""warden, in five minutes my pain will be over. but you'll have to live with the knowledge that you sent an honest man to die."" "
chandler," hey, that was really good! "
joey, thanks! let's keep going. 
chandler," okay. ""so. whaddya want from me, damone, huh?"" "
joey," ""i just wanna go back to my cell. 'cause in my cell, i can smoke."" "
chandler," ""smoke away."" "
chandler, i think this is probably why damone smokes in his cell alone. 
joey, what? 
chandler, relax your hand! 
chandler, not so much! 
joey, whoah! 
chandler, hey! 
joey, hey! 
chandler," alright, now try taking a puff. "
chandler, alright.. okay. no. give it to me. 
joey," no no no, i am not giving you a cigarette. "
chandler," it's fine, it's fine. look, do you wanna get this part, or not? here. "
chandler," don't think of it as a cigarette. think of it as the thing that's been missing from your hand. when you're holding it, you feel right. you feel complete. "
joey, y'miss it? 
chandler," nah, not so much. alright, now we smoke. (takes a puff.) oh.. my.. god. (he continues to smoke.) "
monica," no, no, no. they say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger. "
joey, that's ridiculous! 
ross, can i use.. either thumb? 
rachel," (carrying a tray of drinks) alright, don't tell me, don't tell me! (starts handing them out.) decaf cappucino for joey.. coffee black.. late.. and an iced tea. i'm getting pretty good at this! "
all," yeah. yeah, excellent. "
rachel, (leaving to serve others) good for me! 
joey," y'okay, phoebe? "
phoebe," yeah- no- i'm just- it's, i haven't worked- it's my bank. "
monica, what did they do to you? 
phoebe," it's nothing, it's just- okay. i'm going through my mail, and i open up their monthly, you know, statement- "
ross, easy. 
phoebe, - and there's five hundred extra dollars in my account. 
chandler," oh, satan's minions at work again... "
phoebe," yes, 'cause now i have to go down there, and deal with them. "
joey, what are you talking about? keep it! 
phoebe," it's not mine, i didn't earn it, if i kept it, it would be like stealing. "
rachel," yeah, but if you spent it, it would be like shopping! "
phoebe," okay. okay, let's say i bought a really great pair of shoes. do you know what i'd hear, with every step i took? 'not-mine. not-mine. not-mine.' and even if i was happy, okay, and, and skipping- 'not-not-mine, not-not-mine, not-not-mine, not-not-mine'... "
monica, we're with you. we got it. 
phoebe, okay. i'd- just- i'd never be able to enjoy it. it would be like this giant karmic debt. 
rachel," chandler, what are you doing? "
monica, (puling him up) hey. whaddya doing? 
all," oh! oh, god! "
ross, what is this?! 
chandler," i'm smoking. i'm smoking, i'm smoking. "
phoebe," oh, i can't believe you! you've been so good, for three years! "
chandler, and this- is my reward! 
ross," hold on a second, alright? just think about what you went through the last time you quit. "
chandler," okay, so this time i won't quit! "
all, ohhh! put it out! 
chandler," all right! i'm putting it out, i'm putting it out. (he drops it in phoebe's coffee.) "
phoebe," oh, no! i- i can't drink this now! "
monica," alright. i'm gonna go change, i've got a date. "
rachel, this alan again? how's it goin'? 
monica," 's'going pretty good, y'know? it's nice, and, we're having fun. "
joey, so when do we get to meet the guy? 
monica," let's see, today's monday... never. "
all," oh, come on! come on! "
monica, no. not after what happened with steve. 
chandler, what are you talking about? we love schhteve! schhteve was schhexy!.. sorry. 
monica," look, i don't even know how i feel about him yet. just give me a chance to figure that out. "
rachel," well, then can we meet him? "
monica, nope. schhorry. 
monica," i mean, why should i let them meet him? i mean, i bring a guy home, and within five minutes they're all over him. i mean, they're like- coyotes, picking off the weak members of the herd. "
paula," listen. as someone who's seen more than her fair share of bad beef, i'll tell you: that is not such a terrible thing. i mean, they're your friends, they're just looking out after you. "
monica," i know. i just wish that once, i'd bring a guy home that they actually liked. "
paula," well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy.. "
